id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
851,Frontend Developer,UI Developer,Orion Software,"Chicago, IL",Contract,"$130,000 – $160,000","We're hiring a UI Developer to craft intuitive, performant UIs for our SaaS platform.","[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Git"", ""Agile"", ""Code Review""]","[""WebAssembly"", ""PWA"", ""Nx Monorepo"", ""Chromatic"", ""PagerDuty"", ""OpenAPI""]",3-5 years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
852,Backend Developer,Lead Backend Developer,Vertex Systems,"Denver, CO",Contract-to-Hire,"$80,000 – $100,000",We need a Lead Backend Developer to take ownership of our backend infrastructure and drive reliability.,"[""Python"", ""Django"", ""PostgreSQL"", ""REST APIs"", ""Git"", ""Unit Testing""]","[""Celery"", ""AWS Lambda"", ""OpenAPI"", ""Pytest""]",1-3 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
853,Full Stack Developer,Full Stack JavaScript Developer,DataVault Inc.,"London, UK",Full-time,"$90,000 – $110,000",We are hiring a Full Stack JavaScript Developer to work across our entire stack and deliver impactful product features.,"[""Angular"", ""Java"", ""Spring Boot"", ""MongoDB"", ""Redis"", ""Git"", ""Unit Testing""]","[""Jest"", ""Cypress"", ""Kafka"", ""Helm"", ""Scrum"", ""PagerDuty""]",7+ years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
854,Data Scientist,Applied Scientist,Horizon Engineering,"San Francisco, CA",Full-time (Remote),"$200,000 – $250,000","As a Applied Scientist, you will apply statistical modeling and machine learning to solve complex business problems.","[""Python"", ""R"", ""Statistics"", ""Machine Learning"", ""SQL"", ""CI/CD"", ""Agile""]","[""Airflow"", ""dbt"", ""BigQuery"", ""Plotly"", ""New Relic""]",0-2 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
855,Machine Learning Engineer,NLP Engineer,Pixel Dynamics,"Los Angeles, CA",Full-time (Hybrid),"$150,000 – $180,000",We are hiring a NLP Engineer to build and scale ML systems that power our core product experiences.,"[""Python"", ""PyTorch"", ""CUDA"", ""Hugging Face"", ""AWS""]","[""LangChain"", ""Weaviate"", ""Pinecone"", ""LlamaIndex""]",1-3 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
856,DevOps Engineer,Build & Release Engineer,DataVault Inc.,"Bangalore, India",Full-time,"$90,000 – $110,000","As a Build & Release Engineer, you will own the reliability, scalability, and security of our cloud infrastructure.","[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash""]","[""Spinnaker"", ""Atlantis"", ""OPA"", ""Linkerd"", ""Slack"", ""Pair Programming""]",3-5 years,"[""Build and maintain GitOps workflows using ArgoCD and Flux"", ""Manage secrets and credentials using HashiCorp Vault"", ""Implement observability stack with Prometheus, Grafana, and Loki"", ""Drive reliability improvements through SLO/SLA tracking"", ""Automate infrastructure provisioning and scaling""]"
857,Cloud Engineer,Lead Cloud Engineer,CloudBridge,"New York, NY",Full-time,"$150,000 – $180,000","We're looking for a Lead Cloud Engineer to lead our cloud strategy and enable faster, safer deployments.","[""Azure"", ""ARM Templates"", ""PowerShell"", ""Kubernetes"", ""Git""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery""]",7+ years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
858,Mobile App Developer,Lead Mobile Engineer,Cobalt Platforms,"Chicago, IL",Full-time (Hybrid),"$90,000 – $110,000",Join our mobile team as a Lead Mobile Engineer and help ship features to millions of iOS and Android users.,"[""Flutter"", ""Dart"", ""Firebase"", ""REST APIs"", ""Git""]","[""BLoC"", ""Riverpod"", ""Hive"", ""Crashlytics"", ""Swagger""]",2-4 years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
859,Cybersecurity Analyst,Cloud Security Engineer,Pixel Dynamics,"Bangalore, India",Full-time,"$80,000 – $100,000",We need a Cloud Security Engineer to lead our security operations and build a resilient security posture.,"[""Zero Trust"", ""PAM"", ""DLP"", ""SOAR"", ""MITRE ATT&CK"", ""Jira""]","[""AWS Config"", ""Security Hub"", ""CloudTrail"", ""Terraform"", ""Scrum""]",6-8 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
860,Data Analyst,Junior Data Analyst,Nexus Systems,"Toronto, ON",Full-time,"$130,000 – $160,000","As a Junior Data Analyst, you will partner closely with business stakeholders to answer critical questions with data.","[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing"", ""Jira"", ""Confluence""]","[""Fivetran"", ""BigQuery"", ""Amplitude"", ""Mixpanel"", ""Swagger""]",5-7 years,"[""Lead the analytics function for a key business vertical"", ""Define analytics strategy and OKR tracking frameworks"", ""Build and mentor a team of data analysts"", ""Drive adoption of data-driven decision making across the organization"", ""Own the data warehouse layer for business-facing reporting""]"
861,Frontend Developer,Frontend Developer,Synapse AI,Singapore,Full-time,"$90,000 – $110,000","We're hiring a Frontend Developer to craft intuitive, performant UIs for our SaaS platform.","[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Git""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma"", ""PagerDuty""]",3-5 years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
862,Backend Developer,Backend Developer,Orion Software,"Sydney, Australia",Full-time,"$160,000 – $200,000",We need a Backend Developer to take ownership of our backend infrastructure and drive reliability.,"[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes""]","[""GraphQL"", ""Terraform"", ""ElasticSearch"", ""CI/CD"", ""Postman"", ""New Relic""]",3-5 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
863,Full Stack Developer,Principal Full Stack Developer,Orion Software,"Sydney, Australia",Contract-to-Hire,"$90,000 – $110,000","As a Principal Full Stack Developer, you will own features from database to UI in a fast-paced startup environment.","[""Next.js"", ""TypeScript"", ""Node.js"", ""GraphQL"", ""PostgreSQL"", ""Agile""]","[""Celery"", ""ElasticSearch"", ""Nginx"", ""GitHub Actions"", ""PagerDuty"", ""Swagger""]",1-3 years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
864,Data Scientist,Applied Scientist,DataVault Inc.,"Toronto, Canada",Contract,"$95,000 – $120,000","As a Applied Scientist, you will apply statistical modeling and machine learning to solve complex business problems.","[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL"", ""Agile"", ""Linux""]","[""AWS SageMaker"", ""MLflow"", ""Databricks"", ""PySpark""]",0-2 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
865,Machine Learning Engineer,Machine Learning Engineer,TechCorp,"New York, NY",Full-time,"$200,000 – $250,000",Join our AI team as a Machine Learning Engineer and work on cutting-edge models deployed at scale.,"[""Python"", ""TensorFlow"", ""PyTorch"", ""SQL"", ""Docker"", ""Code Review"", ""Unit Testing""]","[""TensorRT"", ""ONNX Runtime"", ""BentoML"", ""DVC"", ""Slack""]",7+ years,"[""Lead end-to-end ML system design for recommendation and ranking"", ""Define MLOps standards including CI/CD for ML models"", ""Collaborate with platform and infrastructure teams on GPU clusters"", ""Own model governance including fairness, bias, and explainability"", ""Drive research to production pipeline improvements""]"
866,DevOps Engineer,Senior DevOps Engineer,NovaTech Solutions,"Berlin, Germany",Full-time,"$150,000 – $180,000",We are looking for a Senior DevOps Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash""]","[""Crossplane"", ""Pulumi"", ""Grafana"", ""Loki"", ""Swagger""]",1-3 years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
867,Cloud Engineer,AWS Cloud Engineer,DataVault Inc.,"Austin, TX",Contract-to-Hire,"$80,000 – $100,000","As a AWS Cloud Engineer, you will own our cloud environment and drive best practices across teams.","[""AWS"", ""Terraform"", ""Python"", ""Docker"", ""Linux"", ""Code Review"", ""Jira""]","[""Pulumi"", ""Crossplane"", ""OPA"", ""Falco"", ""PagerDuty"", ""Slack""]",3-5 years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
868,Mobile App Developer,Cross-platform Mobile Developer,Luminary Tech,Remote,Contract-to-Hire,"$150,000 – $180,000","As a Cross-platform Mobile Developer, you will own mobile feature development and ensure a world-class app experience.","[""Flutter"", ""Dart"", ""Firebase"", ""REST APIs"", ""Git"", ""Code Review""]","[""Expo"", ""GraphQL"", ""Storybook"", ""Detox"", ""Pair Programming"", ""Swagger""]",6+ years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
869,Cybersecurity Analyst,Security Operations Engineer,Stratos AI,Singapore,Full-time,"$120,000 – $150,000",We are hiring a Security Operations Engineer to protect our infrastructure and customer data from evolving cyber threats.,"[""Splunk"", ""Wireshark"", ""Vulnerability Scanning"", ""Python"", ""OWASP"", ""REST APIs""]","[""CISSP"", ""CEH"", ""CrowdStrike"", ""Palo Alto"", ""Scrum""]",4-6 years,"[""Perform web application and network penetration tests"", ""Document findings and provide remediation guidance to development teams"", ""Conduct threat modeling for new product features"", ""Stay current on emerging CVEs and threat actor TTPs"", ""Support bug bounty triage and coordinate with external researchers""]"
